Var,CB05_ALD2,CB05_ALDX,CB05_CH4,CO,CB05_ETH,CB05_ETHA,CB05_ETOH,CB05_FORM,CB05_IOLE,CB05_ISOP,CB05_MEOH,NH3,NOx,CB05_NVOL,CB05_OLE,CB05_PAR,SO2,CB05_TERP,CB05_TOL,CB05_UNR,CB05_XYL,PAL,PCA,PCL,BC,PFE,PH2O,PK,PMcoarse,PMG,PMN,PMOTHR,PNA,PNCOM,PNH4,PNO3,OC,PSI,PSO4,PTI
ALD2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDX,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHA,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETOH,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOLE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISOP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEOH,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO2,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVOL,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
OLE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
PAR,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
SO2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
SULF,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
TERP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
TOL,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
UNR,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
XYL,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
PAL,,,,,,,,,,,,,,,,,,,,,,0.043,,,-0.043,,,,,,,,,,,-0.043,-0.043,,-0.043,
PCA,,,,,,,,,,,,,,,,,,,,,,,0.039,,-0.039,,,,,,,,,,,-0.039,-0.039,,-0.039,
PCL,,,,,,,,,,,,,,,,,,,,,,,,0.029,-0.029,,,,,,,,,,,-0.029,-0.029,,-0.029,
PEC,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
PFE,,,,,,,,,,,,,,,,,,,,,,,,,-0.031,0.031,,,,,,,,,,-0.031,-0.031,,-0.031,
PH2O,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,,0.003,,,,,,,,,-0.003,-0.003,,-0.003,
PK,,,,,,,,,,,,,,,,,,,,,,,,,-0.031,,,0.031,,,,,,,,-0.031,-0.031,,-0.031,
PMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
PMG,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,,,,,0.004,,,,,,-0.004,-0.004,,-0.004,
PMN,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,0.001,,,,,-0.001,-0.001,,-0.001,
PMOTHR,,,,,,,,,,,,,,,,,,,,,,,,,-0.492,,,,,,,0.492,,,,-0.492,-0.492,,-0.492,
PNA,,,,,,,,,,,,,,,,,,,,,,,,,-0.011,,,,,,,,0.011,,,-0.011,-0.011,,-0.011,
PNCOM,,,,,,,,,,,,,,,,,,,,,,,,,-0.184,,,,,,,,,0.184,,-0.184,-0.184,,-0.184,
PNH4,,,,,,,,,,,,,,,,,,,,,,,,,-0.011,,,,,,,,,,0.011,-0.011,-0.011,,-0.011,
PNO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
POC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
PSI,,,,,,,,,,,,,,,,,,,,,,,,,-0.117,,,,,,,,,,,-0.117,-0.117,0.117,-0.117,
PSO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
PTI,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,,,,,,,,,,,-0.004,-0.004,,-0.004,0.004